,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,2.017958931895783,188.4579492336319,0.0,190.47590816552767
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
,In-vehicle,At-stop,Extra,Total
No control,1570.2634124053693,17726.918446361473,2116.3625706165094,21413.54442938335
