,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC_Average_Demand_5,10.61804263949347,186.4727658417454,0.0,6.727749807269535,203.8185582885086
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC_Average_Demand_5,11.447861842105265,186.00810729539938,0.0,10.090594735367329,207.54656387287181
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC_Average_Demand_5,11.487508656509695,182.95440169367583,0.0,0.0,194.44191035018534
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC_Average_Demand_5,11.958578601108034,185.13228735080102,0.0,3.3657944081169,200.45666036002586
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC_Average_Demand_5,10.717685249307479,182.3981429986927,0.0,5.850765804470038,198.9665940524701
,In-vehicle,At-stop,Extra,Tardiness,Total
FTHC_Average_Demand_5,12.11441948061514,182.71789579929424,0.0,7.255286811132406,202.0876020910418
,In-vehicle,At-stop,Extra,Tardiness,Total
FTNC_Average_Demand_5,2323.045558379758,12927.325733922098,515.0616311181449,64.17206500977974,15829.604988429779
